DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,6.20,DNR,6.20,6.20,6.20,0.00
25/04/2019,6.20,DNR,6.20,6.20,6.20,0.00
24/04/2019,6.20,DNR,6.20,6.20,6.20,0.00
23/04/2019,6.20,DNR,6.20,6.20,6.20,0.00
22/04/2019,6.20,DNR,6.20,6.20,6.20,0.00
19/04/2019,6.20,DNR,6.20,6.20,6.20,0.00
18/04/2019,6.20,DNR,6.20,6.20,6.20,0.00
17/04/2019,7.00,DNR,7.00,7.00,7.00,0.00
16/04/2019,7.00,DNR,7.00,7.00,7.00,0.00
12/04/2019,7.00,DNR,7.00,7.00,7.00,0.00
11/04/2019,7.00,DNR,7.00,7.00,7.00,0.00
10/04/2019,7.00,DNR,7.00,7.00,7.00,0.00
09/04/2019,7.00,DNR,7.00,7.00,7.00,0.00
08/04/2019,7.00,DNR,7.00,7.00,7.00,0.00
05/04/2019,7.00,DNR,7.00,7.00,7.00,400.00
04/04/2019,6.80,DNR,6.80,6.80,6.80,0.00
03/04/2019,6.80,DNR,6.80,6.80,6.80,0.00
02/04/2019,6.80,DNR,6.80,6.80,6.80,0.00
01/04/2019,6.80,DNR,6.80,6.80,6.80,0.00
29/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
28/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
27/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
26/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
25/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
22/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
21/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
20/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
19/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
18/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
15/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
14/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
13/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
12/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
11/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
08/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
07/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
06/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
05/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
04/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
01/03/2019,6.80,DNR,6.80,6.80,6.80,0.00
28/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
27/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
26/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
25/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
22/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
21/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
20/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
19/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
18/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
15/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
14/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
13/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
12/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
11/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
01/02/2019,6.80,DNR,6.80,6.80,6.80,0.00
31/01/2019,6.80,DNR,6.80,6.80,6.80,0.00
30/01/2019,6.80,DNR,6.80,6.80,6.80,500.00
29/01/2019,7.90,DNR,7.90,7.90,7.90,0.00
28/01/2019,7.90,DNR,7.90,7.90,7.90,0.00
25/01/2019,7.90,DNR,7.90,7.90,7.90,100.00
24/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
23/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
22/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
21/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
18/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
17/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
16/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
15/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
14/01/2019,6.90,DNR,6.90,6.90,6.90,100.00
11/01/2019,6.00,DNR,6.00,6.00,6.00,0.00
10/01/2019,6.00,DNR,6.00,6.00,6.00,0.00
09/01/2019,6.00,DNR,6.00,6.00,6.00,0.00
08/01/2019,6.00,DNR,6.00,6.00,6.00,0.00
07/01/2019,6.00,DNR,6.00,6.00,6.00,0.00
04/01/2019,6.00,DNR,6.00,6.00,6.00,480.00
03/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
02/01/2019,6.90,DNR,6.90,6.90,6.90,0.00
28/12/2018,6.90,DNR,6.90,6.90,6.90,0.00
27/12/2018,6.90,DNR,6.90,6.90,6.90,0.00
26/12/2018,6.90,DNR,6.90,6.90,6.90,0.00
25/12/2018,6.90,DNR,6.90,6.90,6.90,600.00
24/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
21/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
20/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
19/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
18/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
17/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
14/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
13/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
12/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
11/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
10/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
07/12/2018,6.00,DNR,6.00,6.00,6.00,0.00
06/12/2018,6.00,DNR,6.00,6.00,6.00,2960.00
05/12/2018,7.00,DNR,7.00,7.00,7.00,0.00
04/12/2018,7.00,DNR,7.00,7.00,7.00,0.00
03/12/2018,7.00,DNR,7.00,7.00,7.00,0.00
30/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
29/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
28/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
27/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
26/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
23/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
22/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
21/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
20/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
19/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
16/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
15/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
14/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
13/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
12/11/2018,7.00,DNR,7.00,7.00,7.00,700.00
09/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
08/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
07/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
06/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
05/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
02/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
01/11/2018,7.00,DNR,7.00,7.00,7.00,0.00
31/10/2018,7.00,DNR,7.00,7.00,7.00,0.00
30/10/2018,7.00,DNR,7.00,7.00,7.00,20.00
29/10/2018,7.00,DNR,7.00,7.00,7.00,0.00
26/10/2018,7.00,DNR,7.00,7.00,7.00,0.00
25/10/2018,7.00,DNR,7.00,7.00,7.00,600.00
24/10/2018,8.00,DNR,8.00,8.00,8.00,0.00
23/10/2018,8.00,DNR,8.00,8.00,8.00,0.00
22/10/2018,8.00,DNR,8.00,8.00,8.00,0.00
19/10/2018,8.00,DNR,8.00,8.00,8.00,0.00
18/10/2018,8.00,DNR,8.00,8.00,8.00,0.00
17/10/2018,8.00,DNR,8.00,8.00,8.00,0.00
16/10/2018,8.00,DNR,8.00,8.00,8.00,0.00
